sample_set	sample_id	flow_cell	flow_cell_type	path
200101	200101	m84046_230526_190552_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200101/m84046_230526_190552_s2.ccs.filtered.fastq.gz
200101	200101	m84039_230401_021407_s1	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200101/m84039_230401_021407_s1.ccs.filtered.fastq.gz
200101	200101	m84039_230403_233415_s1	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200101/m84039_230403_233415_s1.ccs.filtered.fastq.gz
200101	200101	m84046_230517_214654_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200101/m84046_230517_214654_s1.ccs.filtered.fastq.gz
200101	200101	m84046_230519_213817_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200101/m84046_230519_213817_s3.ccs.filtered.fastq.gz
200080	200080	m84046_230708_193430_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200080/m84046_230708_193430_s1.ccs.filtered.fastq.gz
200080	200080	m84046_230704_213021_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200080/m84046_230704_213021_s1.ccs.filtered.fastq.gz
200080	200080	m84046_230701_010431_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200080/m84046_230701_010431_s2.ccs.filtered.fastq.gz
200080	200080	m84046_230704_220127_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200080/m84046_230704_220127_s2.ccs.filtered.fastq.gz
NA12882	NA12882	m84046_230515_211624_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12882/m84046_230515_211624_s3.ccs.filtered.fastq.gz
NA12882	NA12882	m84039_230304_020711_s3	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12882/m84039_230304_020711_s3.ccs.filtered.fastq.gz
200100	200100	m84046_230517_214654_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200100/m84046_230517_214654_s1.ccs.filtered.fastq.gz
200100	200100	m84046_230512_224813_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200100/m84046_230512_224813_s3.ccs.filtered.fastq.gz
200100	200100	m84039_230317_185953_s3	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200100/m84039_230317_185953_s3.ccs.filtered.fastq.gz
200100	200100	m84046_230519_213817_s3	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200100/m84046_230519_213817_s3.ccs.filtered.fastq.gz
NA12881	NA12881	m84046_230329_185756_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12881/m84046_230329_185756_s1.ccs.filtered.fastq.gz
NA12881	NA12881	m84046_230401_040731_s4	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12881/m84046_230401_040731_s4.ccs.filtered.fastq.gz
NA12881	NA12881	m84046_230401_043753_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12881/m84046_230401_043753_s1.ccs.filtered.fastq.gz
NA12881	NA12881	m84046_230403_202554_s4	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12881/m84046_230403_202554_s4.ccs.filtered.fastq.gz
200082	200082	m84046_230711_223630_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200082/m84046_230711_223630_s1.ccs.filtered.fastq.gz
200082	200082	m84046_230708_193430_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200082/m84046_230708_193430_s1.ccs.filtered.fastq.gz
