sample_set	sample_id	flow_cell	flow_cell_type	path
PD50521b_PD50521e	PD50521b	m84047_240924_113521_s4	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/02.revio/m84047_240924_113521_s4.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64178e_240721_224443	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64178e_240721_224443.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64229e_220912_125215	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64229e_220912_125215.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64016e_220901_135237	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64016e_220901_135237.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64229e_220909_150132	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64229e_220909_150132.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m84093_241004_184906_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/02.revio/m84093_241004_184906_s3.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m84093_241004_145012_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/02.revio/m84093_241004_145012_s1.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m84098_240926_113650_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/02.revio/m84098_240926_113650_s3.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m84093_241004_164937_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/02.revio/m84093_241004_164937_s2.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64178e_240723_014734	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64178e_240723_014734.ccs.filtered.fastq.gz
