sample_set	sample_id	flow_cell	flow_cell_type	path
PD50521b_PD50521e	PD50521b	m64178e_240721_224443	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64178e_240721_224443.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64229e_220912_125215	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64229e_220912_125215.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64016e_220901_135237	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64016e_220901_135237.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521b	m64229e_220909_150132	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521b/01.sequel_iie/m64229e_220909_150132.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64178e_240723_014734	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64178e_240723_014734.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64221e_220812_230038	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64221e_220812_230038.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64222e_220805_105329	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64222e_220805_105329.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64016e_220816_095555	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64016e_220816_095555.ccs.filtered.fastq.gz
PD50477f	PD50477f	m64178e_220829_002441	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/01.sequel_iie/m64178e_220829_002441.ccs.filtered.fastq.gz
PD50477f	PD50477f	m64094e_220917_231317	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/01.sequel_iie/m64094e_220917_231317.ccs.filtered.fastq.gz
